아이템ID,명칭,가격,샘플,전투,통상,버린다,장식,전생,스킬ID,설명문.
293,큰 방패,5000,3,0,0,1,1,0,0,1,대형 방패.\n장비하면 결계에 막혔을 때 대미지를 줄\n여주지만 관통되면 큰 대미지를 받는다.
294,용신의 부적,5000,3,0,0,1,1,0,0,1,장비하면 통렬한 일격을 받지\n않는다.
295,Item295,0,255,0,0,1,1,0,0,1,Item２９５.
296,Item296,0,255,0,0,1,1,0,0,1,Item２９６.
297,Item297,0,255,0,0,1,1,0,0,1,Item２９７.
298,Item298,0,255,0,0,1,1,0,0,1,Item２９８.
299,Item299,0,255,0,0,1,1,0,0,1,Item２９９.
300,Item300,0,255,0,0,1,1,0,0,1,Item３００.
301,Item301,0,255,0,0,1,1,0,0,1,Item３０１.
302,Item302,0,255,0,0,1,1,0,0,1,Item３０２.
303,전능의 영석,250000,3,0,0,1,1,0,0,1,장비하면 모든 기후의 시간이\n평소보다 길게 된다.
304,정적의 영석,100000,3,0,0,1,1,0,0,1,장비하면 나기의 시간이\n평소보다 길게 된다.
305,후광의 영석,100000,3,0,0,1,1,0,0,1,장비하면 극광의 시간이\n평소보다 길게 된다.
306,소암의 영석,100000,3,0,0,1,1,0,0,1,장비하면 농무의 시간이\n평소보다 길게 된다.
307,사진의 영석,100000,3,0,0,1,1,0,0,1,장비하면 황사의 시간이\n평소보다 길게 된다.
308,천운의 영석,100000,3,0,0,1,1,0,0,1,장비하면 여우비의 시간이\n평소보다 길게 된다.
309,Item309,0,255,0,0,1,1,0,0,1,Item３０９.
310,Item310,0,255,0,0,1,1,0,0,1,Item３１０.
311,Item311,0,255,0,0,1,1,0,0,1,Item３１１.
312,Item312,0,255,0,0,1,1,0,0,1,Item３１２.
313,Item313,0,255,0,0,1,1,0,0,1,Item３１３.
314,Item314,0,255,0,0,1,1,0,0,1,Item３１４.
315,하얀색 머리 장식,1000,3,0,0,1,1,0,0,1,순백의 머리 장식.\n장비하면 무속성 스킬의 위력이\n올라간다.
316,진홍색 머리 장식,1000,3,0,0,1,1,0,0,1,불타는 것 같은 적색의 머리 장식.\n장비하면 불속성 스킬의 위력이\n올라간다.
317,보라색 머리 장식,1000,3,0,0,1,1,0,0,1,선명한 청색의 머리 장식.\n장비하면 물속성 스킬의 위력이\n올라간다.
318,초록색 머리 장식,1000,3,0,0,1,1,0,0,1,풀 같은 녹색의 머리 장식.\n장비하면 자연속성 스킬의 위력이\n올라간다.
319,황토색 머리 장식,1000,3,0,0,1,1,0,0,1,흙색을 한 머리 장식.\n장비하면 땅속성 스킬의 위력이\n올라간다.
320,강철색 머리 장식,1000,3,0,0,1,1,0,0,1,칙칙한 회색의 머리 장식.\n장비하면 강철속성 스킬의 위력이\n올라간다.
321,비취색 머리 장식,1000,3,0,0,1,1,0,0,1,투명한 비취색의 머리 장식.\n장비하면 바람속성 스킬의 위력이\n올라간다.
322,노란색 머리 장식,1000,3,0,0,1,1,0,0,1,맑은 노란색의 머리 장식.\n장비하면 전기속성 스킬의 위력이\n올라간다.
323,무지개색 머리 장식,1000,3,0,0,1,1,0,0,1,선명한 무지개색으로 빛나는 머리 장식.\n장비하면 빛속성 스킬의 위력이\n올라간다.
324,검은색 머리 장식,1000,3,0,0,1,1,0,0,1,검은색 하나로 빛나는 머리 장식.\n장비하면 어둠속성 스킬의 위력이\n올라간다.
325,검보라색 머리 장식,1000,3,0,0,1,1,0,0,1,보라색이 섞인 흑색의 머리 장식.\n장비하면 유령속성 스킬의 위력이\n올라간다.
326,청자색 머리 장식,1000,3,0,0,1,1,0,0,1,청색을 띤 어두운 보라색의 머리 장식.\n장비하면 독속성 스킬의 위력이\n올라간다.
327,호박색 머리 장식,1000,3,0,0,1,1,0,0,1,투명감이 있는 호박색의 머리 장식.\n장비하면 격투속성 스킬의 위력이\n올라간다.
328,모란색 머리 장식,1000,3,0,0,1,1,0,0,1,화사한 모란색의 머리 장식.\n장비하면 환상속성 스킬의 위력이\n올라간다.
329,줄무늬 머리 장식,1000,3,0,0,1,1,0,0,1,흑백의 줄무늬의 머리 장식.\n장비하면 소리속성 스킬의 위력이\n올라간다.
330,비색 머리 장식,1000,3,0,0,1,1,0,0,1,진한 푸른색의 머리 장식.\n장비하면 왜곡속성 스킬의 위력이\n올라간다.
331,Item331,0,255,0,0,1,1,0,0,1,Item３３１.
332,Item332,0,255,0,0,1,1,0,0,1,Item３３２.
333,눈 속임 구슬,0,3,0,0,0,1,0,0,1,장비하면 야생 인형과의 전투에서\n반드시 도망칠 수 있다.
334,목도,0,3,0,0,0,1,0,0,1,단련용 목도.\n장비하면 전투에서 얻을 수 있는\nPP의 양이 늘어난다.
335,전투의 교범,0,3,0,0,0,1,0,0,1,싸움의 안내서.\n장비하면 전투에서 얻을 수 있는\n경험치가 늘어난다.
336,Item336,0,255,0,0,1,1,0,0,1,Item３３６.
337,레이라의 부적,0,3,0,0,0,1,0,0,1,네 자매의 사진 아래에 있었던 부적.\n선두의 인형이 장비하면 야생의 인형이 다가올 확률이 내려간다.
338,토착신의 가호,0,3,0,0,0,1,0,0,1,스와코에게서 받은 부적.\n장비하면 전투에서 얻을 수 있는\n경험치와 PP가 배로 된다.
339,몽현의 경계,2,3,0,0,1,1,0,0,0,무지개색과 파란색으로 빛나는 보석.\n특별한 인형이 장비하면 능력치가 크게 상승한다.
340,고대의 동전,0,3,0,0,0,1,0,0,1,한 개라면 컨티뉴 할 수 없다.\n장비하면 인형을 포획할 확률이\n상승한다.
341,요마 두루마리-적-,5000,3,0,0,1,1,0,0,0,붉은 색으로 장식된 갖가지 요괴가 그려진 두루마리.\n장식품 파괴의 효과를 받지 않는다.
342,요마 두루마리-청-,5000,3,0,0,1,1,0,0,0,푸른 색으로 장식된 갖가지 요괴가 그려진 두루마리.\n장식품 파괴의 효과를 받지 않는다.
343,요마 두루마리-흑-,5000,3,0,0,1,1,0,0,0,검은 색으로 장식된 갖가지 요괴가 그려진 두루마리.\n장식품 파괴의 효과를 받지 않는다.
344,요마 두루마리-백-,5000,3,0,0,1,1,0,0,0,하얀 색으로 장식된 갖가지 요괴가 그려진 두루마리.\n장식품 파괴의 효과를 받지 않는다.
345,Item345,250000,3,0,0,1,1,0,0,0,Item３４５。
346,Item346,0,255,0,0,1,1,0,0,1,Item３４６.
347,Item347,0,255,0,0,1,1,0,0,1,Item３４７.
348,요격 조각,250000,3,0,0,1,1,0,0,1,장비하면 BU스킬을 받았을 때 상대에게도 대미지를 준다.
349,반사 조각,250000,3,0,0,1,1,0,0,1,장비하면 EN스킬을 받았을 때 상대에게도 대미지를 준다.
350,희망의 가면,100,3,0,0,1,1,0,0,0,희망찬 얼굴을 한 가면.\n장비하면 풀죽지 않는다.\n장식품 파괴의 효과를 받지 않는다.
351,철심의 리본,10000,3,0,0,1,1,0,0,1,습득하고 있는 스킬 수가 3개 이하인 경우 받는 대미지를 경감한다.
352,전망 안경,10000,3,0,0,1,1,0,0,1,장비하면 상대 인형의 장식품을 알 수 있게 된다.
353,투창 비법서,10000,3,0,0,1,1,0,0,1,싸움의 마음가짐이 적힌 서적.\n장비하면 투창 공격의 대미지가 늘어난다.
354,꿈의 파편,0,3,0,0,0,1,0,0,0,색이 변화하는 신기한 보석.\n특별한 인형에게 지니게 하면 능력치가 상승한다.
355,방울 머리 장식,0,3,0,0,0,1,0,0,1,작은 방울이 달린 머리 장식.\n선두의 인형이 장비하면 야생 인형과 만날 확률이 늘어난다.
356,달의 고주,0,3,0,0,0,1,0,0,1,천년 묵은 술.\n선두의 인형이 장비하면 야생 인형과 만날 확률이 줄어든다.
357,하쿠레이의 부적,2,3,0,0,1,1,0,0,1,하쿠레이의 힘이 깃든 고마운 부적.\n장비하면 전투에서 얻을 수 있는 경험치와 PP가 배로 된다.
358,포박줄,20000,3,0,0,1,1,0,0,1,제멋대로 꿈틀거리는 저주받은 줄.\n장비하면 상대의 교체 기술을 무효화\n한다. 특정 어빌리티에는 효과가 없다.
359,Item359,0,255,0,0,1,1,0,0,1,Item３５９.
360,Item360,0,255,0,0,1,1,0,0,1,Item３６０.
361,Item361,0,255,0,0,1,1,0,0,1,Item３６１.
362,Item362,0,255,0,0,1,1,0,0,1,Item３６２.
363,Item363,0,255,0,0,1,1,0,0,1,Item３６３.
364,Item364,0,255,0,0,1,1,0,0,1,Item３６４.
365,Item365,0,255,0,0,1,1,0,0,1,Item３６５.
366,Item366,0,255,0,0,1,1,0,0,1,Item３６６.
367,Item367,0,255,0,0,1,1,0,0,1,Item３６７.
368,Item368,0,255,0,0,1,1,0,0,1,Item３６８.
369,Item369,0,255,0,0,1,1,0,0,1,Item３６９.
370,Item370,0,255,0,0,1,1,0,0,1,Item３７０.
371,Item371,0,255,0,0,1,1,0,0,1,Item３７１.
372,Item372,0,255,0,0,1,1,0,0,1,Item３７２.
373,Item373,0,255,0,0,1,1,0,0,1,Item３７３.
374,Item374,0,255,0,0,1,1,0,0,1,Item３７４.
375,Item375,0,255,0,0,1,1,0,0,1,Item３７５.
376,Item376,0,255,0,0,1,1,0,0,1,Item３７６.
377,Item377,0,255,0,0,1,1,0,0,1,Item３７７.
378,Item378,0,255,0,0,1,1,0,0,1,Item３７８.
379,Item379,0,255,0,0,1,1,0,0,1,Item３７９.
380,Item380,0,255,0,0,1,1,0,0,1,Item３８０.
381,Item381,0,255,0,0,1,1,0,0,1,Item３８１.
382,Item382,0,255,0,0,1,1,0,0,1,Item３８２.
383,Item383,0,255,0,0,1,1,0,0,1,Item３８３.
384,Item384,0,255,0,0,1,1,0,0,1,Item３８４.
385,스킬 카드1,25000,4,0,1,0,0,0,106,1,파이어 재블린
386,스킬 카드2,25000,4,0,1,0,0,0,155,1,아쿠아 재블린
387,스킬 카드3,25000,4,0,1,0,0,0,206,1,그래스 재블린
388,스킬 카드4,25000,4,0,1,0,0,0,353,1,윈드 재블린
389,스킬 카드5,25000,4,0,1,0,0,0,403,1,스파크 재블린
390,스킬 카드6,25000,4,0,1,0,0,0,454,1,라이트 재블린
391,스킬 카드7,25000,4,0,1,0,0,0,603,1,섀도우 재블린
392,스킬 카드8,0,4,0,1,0,0,0,20,1,오버 스킬
393,스킬 카드9,0,4,0,1,0,0,0,22,1,광란정유리
394,스킬 카드10,0,4,0,1,0,0,0,24,1,역경의 한 수
395,스킬 카드11,0,4,0,1,0,0,0,107,1,라이징 선
396,스킬 카드12,0,4,0,1,0,0,0,104,1,번 스트라이크
397,스킬 카드13,0,4,0,1,0,0,0,152,1,폭포 떨구기
398,스킬 카드14,0,4,0,1,0,0,0,204,1,기아의 목소리
399,스킬 카드15,0,4,0,1,0,0,0,201,1,텀블 플랜트
400,스킬 카드16,0,4,0,1,0,0,0,253,1,슈팅 프레스
401,스킬 카드17,0,4,0,1,0,0,0,254,1,그랜드 리베레이트
402,스킬 카드18,0,4,0,1,0,0,0,257,1,스톤 스파이크
403,스킬 카드19,0,4,0,1,0,0,0,303,1,임팩트 리벨리온
404,스킬 카드20,0,4,0,1,0,0,0,301,1,안개제거
405,스킬 카드21,0,4,0,1,0,0,0,351,1,환상향직격태풍
406,스킬 카드22,0,4,0,1,0,0,0,354,1,쇼크 스탬프
407,스킬 카드23,0,4,0,1,0,0,0,355,1,도난의 바람
408,스킬 카드24,0,4,0,1,0,0,0,404,1,플라즈마 볼
409,스킬 카드25,0,4,0,1,0,0,0,455,1,천광의 춤
410,스킬 카드26,0,4,0,1,0,0,0,452,1,파사의 활 공격
411,스킬 카드27,0,4,0,1,0,0,0,504,1,체인질링
412,스킬 카드28,0,4,0,1,0,0,0,507,1,다크 애로우
413,스킬 카드29,0,4,0,1,0,0,0,506,1,로스트 크라이시스
414,스킬 카드30,0,4,0,1,0,0,0,605,1,삼혼칠백의 이산
415,스킬 카드31,0,4,0,1,0,0,0,553,1,독화살
416,스킬 카드32,0,4,0,1,0,0,0,655,1,진공파쇄권
417,스킬 카드33,0,4,0,1,0,0,0,656,1,메테오 임팩트
418,스킬 카드34,0,4,0,1,0,0,0,664,1,브레이크 샷
419,스킬 카드35,0,4,0,1,0,0,0,666,1,차징 스턴
420,스킬 카드36,0,4,0,1,0,0,0,706,1,나락의 꽃
421,스킬 카드37,0,4,0,1,0,0,0,707,1,세인트 엘모의 불
422,스킬 카드38,0,4,0,1,0,0,0,751,1,폭음 풀 버스트
423,스킬 카드39,0,4,0,1,0,0,0,34,1,트라이 이펙트
424,스킬 카드40,0,4,0,1,0,0,0,37,1,천신의 가호
425,스킬 카드41,0,4,0,1,0,0,0,38,1,사신의 가호
426,스킬 카드42,0,4,0,1,0,0,0,116,1,플래쉬 오버
427,스킬 카드43,35000,4,0,1,0,0,0,111,1,인페르노
428,스킬 카드44,35000,4,0,1,0,0,0,162,1,콜드 레인
429,스킬 카드45,0,4,0,1,0,0,0,165,1,레이지 미스트
430,스킬 카드46,0,4,0,1,0,0,0,212,1,채광백화
431,스킬 카드47,0,4,0,1,0,0,0,213,1,미스트 포그
432,스킬 카드48,0,4,0,1,0,0,0,264,1,쥬얼리 스톰
433,스킬 카드49,0,4,0,1,0,0,0,313,1,크롬 레이
434,스킬 카드50,0,4,0,1,0,0,0,363,1,스매시 스핀
435,스킬 카드51,35000,4,0,1,0,0,0,405,1,뇌제 인디그네이트
436,스킬 카드52,0,4,0,1,0,0,0,410,1,질풍신뢰
437,스킬 카드53,0,4,0,1,0,0,0,407,1,썬더 포스
438,스킬 카드54,0,4,0,1,0,0,0,460,1,스타 플레어
439,스킬 카드55,0,4,0,1,0,0,0,511,1,라플라스의 눈
440,스킬 카드56,0,4,0,1,0,0,0,610,1,고스트 웨이
441,스킬 카드57,0,4,0,1,0,0,0,611,1,러브 올 페인
442,스킬 카드58,0,4,0,1,0,0,0,555,1,포이즌 붐
443,스킬 카드59,35000,4,0,1,0,0,0,670,1,기간틱
444,스킬 카드60,0,4,0,1,0,0,0,716,1,언노운 플레어
445,스킬 카드61,0,4,0,1,0,0,0,712,1,그래비티 블래스트
446,스킬 카드62,0,4,0,1,0,0,0,756,1,울트라 하이톤
447,스킬 카드63,0,4,0,1,0,0,0,41,1,삼라결계
448,스킬 카드64,15000,4,0,1,0,0,0,42,1,배리어 옵션
449,스킬 카드65,15000,4,0,1,0,0,0,47,1,무아의 경지
450,스킬 카드66,0,4,0,1,0,0,0,54,1,붙잡기
451,스킬 카드67,0,4,0,1,0,0,0,121,1,테르밋
452,스킬 카드68,0,4,0,1,0,0,0,173,1,가뭄
453,스킬 카드69,0,4,0,1,0,0,0,366,1,돌풍
454,스킬 카드70,15000,4,0,1,0,0,0,461,1,필드 배리어
455,스킬 카드71,15000,4,0,1,0,0,0,462,1,필드 프로텍트
456,스킬 카드72,15000,4,0,1,0,0,0,463,1,행운의 무지개
457,스킬 카드73,0,4,0,1,0,0,0,468,1,섬광탄
458,스킬 카드74,0,4,0,1,0,0,0,513,1,샤크 트레이드
459,스킬 카드75,0,4,0,1,0,0,0,518,1,달콤한 악몽
460,스킬 카드76,0,4,0,1,0,0,0,618,1,뒤쪽의 정면
461,스킬 카드77,0,4,0,1,0,0,0,561,1,미아즈마
462,스킬 카드78,15000,4,0,1,0,0,0,718,1,컨티뉴
463,스킬 카드79,0,4,0,1,0,0,0,762,1,업 비트
464,스킬 카드80,0,4,0,1,0,0,0,776,1,클레임
465,스킬 카드81,15000,4,0,1,0,0,0,802,1,디스토션 봄
466,스킬 카드82,15000,4,0,1,0,0,0,804,1,스텔스 머더
467,스킬 카드83,15000,4,0,1,0,0,0,806,1,미무낙화
468,스킬 카드84,15000,4,0,1,0,0,0,807,1,인스팅션
469,스킬 카드85,15000,4,0,1,0,0,0,809,1,필드 브레이크
470,스킬 카드86,15000,4,0,1,0,0,0,377,1,비상난무
471,스킬 카드87,15000,4,0,1,0,0,0,402,1,뇌절
472,스킬 카드88,15000,4,0,1,0,0,0,661,1,댄싱 소드
473,스킬 카드89,15000,4,0,1,0,0,0,752,1,하이톤 크래시
474,스킬 카드90,20000,4,0,1,0,0,0,65,1,오버런
475,스킬 카드91,15000,4,0,1,0,0,0,115,1,백드리프트
476,스킬 카드92,15000,4,0,1,0,0,0,164,1,얼음 감옥
477,스킬 카드93,15000,4,0,1,0,0,0,378,1,스피닝 에어
478,스킬 카드94,15000,4,0,1,0,0,0,510,1,다크니스 스위트
479,스킬 카드95,15000,4,0,1,0,0,0,682,1,브레이브 버스트
480,스킬 카드96,15000,4,0,1,0,0,0,714,1,카타스트로피
481,스킬 카드97,15000,4,0,1,0,0,0,608,1,폴터가이스트
482,스킬 카드98,35000,4,0,1,0,0,0,120,1,도깨비불
483,스킬 카드99,35000,4,0,1,0,0,0,424,1,쇼크 패럴라이즈
484,스킬 카드100,35000,4,0,1,0,0,0,571,1,산성 눈물
485,스킬 카드101,15000,4,0,1,0,0,0,69,1,천공의 위세
486,스킬 카드102,15000,4,0,1,0,0,0,70,1,지양의 위세
487,스킬 카드103,15000,4,0,1,0,0,0,380,1,종언의 정풍
488,스킬 카드104,15000,4,0,1,0,0,0,278,1,파괴의 균열
489,스킬 카드105,35000,4,0,1,0,0,0,820,1,천지무극
490,스킬 카드106,0,255,0,0,1,0,0,1023,1,스킬 카드 １０６,더미 데이터
491,스킬 카드107,0,255,0,0,1,0,0,1023,1,스킬 카드 １０７,더미 데이터
492,스킬 카드108,0,255,0,0,1,0,0,1023,1,스킬 카드 １０８,더미 데이터
493,스킬 카드109,0,255,0,0,1,0,0,1023,1,스킬 카드 １０９,더미 데이터
494,스킬 카드110,0,255,0,0,1,0,0,1023,1,스킬 카드 １１０,더미 데이터
495,스킬 카드111,0,255,0,0,1,0,0,1023,1,스킬 카드 １１１,더미 데이터
496,스킬 카드112,0,255,0,0,1,0,0,1023,1,스킬 카드 １１２,더미 데이터
497,스킬 카드113,0,255,0,0,1,0,0,1023,1,스킬 카드 １１３,더미 데이터
498,스킬 카드106,15000,4,0,1,0,0,0,127,1,염부
499,스킬 카드107,15000,4,0,1,0,0,0,179,1,수부
500,스킬 카드108,15000,4,0,1,0,0,0,233,1,자연부
501,스킬 카드109,15000,4,0,1,0,0,0,273,1,대지부
502,스킬 카드110,15000,4,0,1,0,0,0,327,1,강철부
503,스킬 카드111,15000,4,0,1,0,0,0,375,1,풍부
504,스킬 카드112,15000,4,0,1,0,0,0,421,1,뇌부
505,스킬 카드113,15000,4,0,1,0,0,0,474,1,광부
506,스킬 카드114,15000,4,0,1,0,0,0,524,1,암부
507,스킬 카드115,15000,4,0,1,0,0,0,623,1,명부
508,스킬 카드116,15000,4,0,1,0,0,0,566,1,독부
509,스킬 카드117,15000,4,0,1,0,0,0,680,1,투부
510,스킬 카드118,15000,4,0,1,0,0,0,741,1,환부
511,스킬 카드119,15000,4,0,1,0,0,0,782,1,음부
512,스킬 카드120,15000,4,0,1,0,0,0,817,1,왜부
513,Item513,0,255,0,0,1,0,0,0,1,Item５１３.
514,Item514,0,255,0,0,1,0,0,0,1,Item５１４.
515,Item515,0,255,0,0,1,0,0,0,1,Item５１５.
516,Item516,0,255,0,0,1,0,0,0,1,Item５１６.
517,집탄의 약,500,255,0,0,1,0,0,0,1,전투중 인형의 집탄을 올린다.\n교환하면 원래대로 돌아온다.\n적용불가.
518,집방의 약,550,255,0,0,1,0,0,0,1,전투중 인형의 집방을 올린다.\n교환하면 원래대로 돌아온다.\n적용불가.
519,준민의 약,350,255,0,0,1,0,0,0,1,전투중 인형의 준민을 올린다.\n교환하면 원래대로 돌아온다.\n적용불가.
520,산탄의 약,350,255,0,0,1,0,0,0,1,전투중 인형의 산탄을 올린다.\n교환하면 원래대로 돌아온다.\n적용불가.
521,산방의 약,350,255,0,0,1,0,0,0,1,전투중 인형의 산방을 올린다.\n교환하면 원래대로 돌아온다.\n적용불가.
522,명중의 약,950,255,0,0,1,0,0,0,1,전투중 인형의 명중을 올린다.\n교환하면 원래대로 돌아온다.\n적용불가.
523,심안의 약,650,255,0,0,1,0,0,0,1,전투중 인형의 OO을 올린다.\n교환하면 원래대로 돌아온다.\n적용불가.
524,불간섭의 약,700,255,0,0,1,0,0,0,1,전투중 5턴 동안 아군의 능력이 내려가지 않게 한다.\n적용불가.
525,히나 인형,1000,5,1,0,1,0,0,0,1,야생 인형의 주위를 끌고 전투에서\n반드시 도망칠 수 있게 한다.
526,Item526,0,255,1,0,1,0,0,0,1,Item５２６.
527,Item527,0,255,1,0,1,0,0,0,1,Item５２７.
528,Item528,0,255,1,0,1,0,0,0,1,Item５２８.
529,Item529,0,255,1,0,1,0,0,0,1,Item５２９.
530,Item530,0,255,1,0,1,0,0,0,1,Item５３０.
531,봉인의 실,200,5,1,0,1,0,0,0,1,인형 봉인에 사용하는 튼튼한 실.
532,계약의 실,600,5,1,0,1,0,0,0,1,봉인의 실보다 인형을 봉인하기 쉬워진\n조금 성능이 좋은 실.
533,서약의 실,1200,5,1,0,1,0,0,0,1,계약의 실보다 인형을 봉인하기 쉬워진\n꽤 성능이 좋은 실.
534,운명의 실,10,5,1,0,1,0,0,0,1,어떤 인형도 봉인하는 것이 가능한\n최고 성능의 실.
535,Item535,0,255,1,0,1,0,0,0,1,Item５３５.
536,Item536,0,255,1,0,1,0,0,0,1,Item５３６.
537,Item537,0,255,1,0,1,0,0,0,1,Item５３７.
538,Item538,0,255,1,0,1,0,0,0,1,Item５３８.
539,Item539,0,255,1,0,1,0,0,0,1,Item５３９.
540,Item540,0,255,1,0,1,0,0,0,1,Item５４０.
541,Item541,0,255,1,0,1,0,0,0,1,Item５４１.
542,Item542,0,255,1,0,1,0,0,0,1,Item５４２.
543,Item543,0,255,1,0,1,0,0,0,1,Item５４３.
544,Item544,0,255,1,0,1,0,0,0,1,Item５４４.
545,Item545,0,255,1,0,1,0,0,0,1,Item５４５.
546,Item546,0,255,1,0,1,0,0,0,1,Item５４６.
547,Item547,0,255,1,0,1,0,0,0,1,Item５４７.
548,Item548,0,255,1,0,1,0,0,0,1,Item５４８.
549,Item549,0,255,1,0,1,0,0,0,1,Item５４９.
550,Item550,0,255,1,0,1,0,0,0,1,Item５５０.
551,Item551,0,255,1,0,1,0,0,0,1,Item５５１.
552,Item552,0,255,1,0,1,0,0,0,1,Item５５２.
553,Item553,0,255,1,0,1,0,0,0,1,Item５５３.
554,Item554,0,255,1,0,1,0,0,0,1,Item５５４.
555,Item555,0,255,1,0,1,0,0,0,1,Item５５５.
556,Item556,0,255,1,0,1,0,0,0,1,Item５５６.
557,Item557,0,255,1,0,1,0,0,0,1,Item５５７.
558,Item558,0,255,1,0,1,0,0,0,1,Item５５８.
559,Item559,0,255,1,0,1,0,0,0,1,Item５５９.
560,Item560,0,255,1,0,1,0,0,0,1,Item５６０.
561,Item561,0,255,1,0,1,0,0,0,1,Item５６１.
562,Item562,0,255,1,0,1,0,0,0,1,Item５６２.
563,Item563,0,255,1,0,1,0,0,0,1,Item５６３.
564,Item564,0,255,1,0,1,0,0,0,1,Item５６４.
565,Item565,0,255,1,0,1,0,0,0,1,Item５６５.
566,Item566,0,255,1,0,1,0,0,0,1,Item５６６.
567,Item567,0,255,1,0,1,0,0,0,1,Item５６７.
568,Item568,0,255,1,0,1,0,0,0,1,Item５６８.
569,Item569,0,255,1,0,1,0,0,0,1,Item５６９.
570,Item570,0,255,1,0,1,0,0,0,1,Item５７０.
571,Item571,0,255,1,0,1,0,0,0,1,Item５７１.
572,Item572,0,255,1,0,1,0,0,0,1,Item５７２.
573,Item573,0,255,1,0,1,0,0,0,1,Item５７３.
574,Item574,0,255,1,0,1,0,0,0,1,Item５７４.
575,Item575,0,255,1,0,1,0,0,0,1,Item５７５.
576,Item576,0,255,1,0,1,0,0,0,1,Item５７６.
577,인형도감,0,6,0,0,0,0,0,0,1,환상향에 발생한 인형에 대해 적힌 도감.
578,전해야 할 물건,0,6,0,0,0,0,0,0,1,앨리스라고 하는 사람에게 전해야 할 물건.\n숲에 있는 모양이다.
579,환상향의 지도,0,6,0,1,0,0,0,0,1,환상향의 지도.
580,인형 상자,0,6,0,0,0,0,0,0,1,파편 상태의 인형을 넣어두는 상자.\n아큐 인형이 있는 곳에서 열 수 있다.
581,자전거,0,6,0,1,0,0,0,0,1,빨리 달릴 수 있는 접이식 자전거.\nSELECT 버튼으로 타는 것이 가능하다.
582,나무꾼 인형,0,6,0,0,0,0,0,0,1,가는 수목을 벨 수 있는 인형.\n이것은 자립하지 않은 것 같다.
583,괴력 글러브,0,6,0,0,0,0,0,0,1,바위를 부술 수 있는 글러브.
584,고무 보트,0,6,0,1,0,0,0,0,1,강 같은 것을 건널 때 쓰는 보트.
585,스키마맵,0,6,0,1,0,0,0,0,1,알고 있는 장소에 이동할 수 있는 환상향 지도.
586,Item586,0,255,0,0,0,0,0,0,1,Item５８６.
587,Item587,0,255,0,0,0,0,0,0,1,Item５８７.
588,Item588,0,255,0,0,0,0,0,0,1,Item５８８.
589,Item589,0,255,0,0,0,0,0,0,1,Item５８９.
590,복숭아 비녀,0,6,0,0,0,0,0,0,1,카센이 잃어버린 물건.\n잃어버린 물건은 이것 말고도 3개.\n전부 찾으면 카센에게 가자.
591,술시 피리,0,6,0,0,0,0,0,0,1,카센이 잃어버린 물건.\n잃어버린 물건은 이것 말고도 3개.\n전부 찾으면 카센에게 가자.
592,신시 걸상,0,6,0,0,0,0,0,0,1,카센이 잃어버린 물건.\n잃어버린 물건은 이것 말고도 3개.\n전부 찾으면 카센에게 가자.
593,용조식 식칼도,0,6,0,0,0,0,0,0,1,카센이 잃어버린 물건.\n잃어버린 물건은 이것 말고도 3개.\n전부 찾으면 카센에게 가자.
594,Item594,0,255,0,0,0,0,0,0,1,Item５９４.
595,Item595,0,255,0,0,0,0,0,0,1,Item５９５.
596,Item596,0,255,0,0,0,0,0,0,1,Item５９６.
597,Item597,0,255,0,0,0,0,0,0,1,Item５９７.
598,요마서 -1-,0,6,0,0,0,0,0,0,1,요마서의 첫 번째 장.
599,요마서 -2-,0,6,0,0,0,0,0,0,1,요마서의 두 번째 장.
600,요마서 -3-,0,6,0,0,0,0,0,0,1,요마서의 세 번째 장.
601,요마서 -4-,0,6,0,0,0,0,0,0,1,요마서의 네 번째 장.
602,요마서 -5-,0,6,0,0,0,0,0,0,1,요마서의 다섯 번째 장.
603,요마서 -6-,0,6,0,0,0,0,0,0,1,요마서의 여섯 번째 장.
604,요마서 -7-,0,6,0,0,0,0,0,0,1,요마서의 일곱 번째 장.
605,요마서 -8-,0,6,0,0,0,0,0,0,1,요마서의 여덟 번째 장.
606,요마서 -9-,0,6,0,0,0,0,0,0,1,요마서의 아홉 번째 장.
607,요마서 -10-,0,6,0,0,0,0,0,0,1,요마서의 열 번째 장.
608,Item608,0,255,0,0,0,0,0,0,1,Item６０８.
609,Item609,0,255,0,0,0,0,0,0,1,Item６０９.
610,Item610,0,255,0,0,0,0,0,0,1,Item６１０.
611,Item611,0,255,0,0,0,0,0,0,1,Item６１１.
612,오래된 열쇠,0,6,0,0,0,0,0,0,1,오래되어 보이는 홍마관 지하실 문을 열 수 있는 열쇠.\n한 번만 사용할 수 있다.
613,큰 솜,0,6,0,0,0,0,0,0,1,대량의 인형용 솜.
614,바늘,0,6,0,0,0,0,0,0,1,바느질용 바늘.
615,실,0,6,0,0,0,0,0,0,1,큰 바느질용 실.
616,가위,0,6,0,0,0,0,0,0,1,의류용 가위.
617,옷,0,6,0,0,0,0,0,0,1,큰 갈색 옷.
618,큰 곰인형,0,6,0,0,0,0,0,0,1,놀라울 정도로 큰 곰인형.
619,찢어진 곰인형,0,6,0,0,0,0,0,0,1,조각이 되어버린 곰인형. 
620,쇼트케익,0,6,0,0,0,0,0,0,1,맛있어 보이는 쇼트케익.
621,쇼트케익 조각,0,6,0,0,0,0,0,0,1,쇼트케익 한 조각.
622,Item622,0,255,0,0,0,0,0,0,1,Item６２２.
